,CS_Course,Desc
0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/110.html,"<p>Introduction to programming practice using Python. Analysis and formulation of problems for computer solution. Systematic design, construction, and testing of programs. Substantial programming assignments in Python. See professor's website for an updated syllabus.</p>"
1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/111.html,"<p>This is an introductory course on the fundamentals of computer programming. I see this class as an opportunity for you, the student, to see what computer programming is all about and (more importantly) to see whether you want to spend the next few years doing more of it. This course will include weekly programming projects, readings, a midterm, and final examinations. Class participation is not optional.</p>"
2,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/150.html,"<p>Intended for students who have completed COMP_SCI 111, but don’t have any other formal Computer Science background. It will provide an introduction to object-oriented programming in Python, preparing students for future courses such as COMP_SCI 211. </p>"
3,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/203.html,"<p>Overview of computer engineering design. Number systems and Boolean algebra. Logic gates. Design of combinational circuits and simplification. Decoders, multiplexors, adders. Sequential logic and flip flops. Introduction to assembly language.  </p>"
4,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/205.html,<p><strong>CATALOG DESCRIPTION: </strong>Basics of assembly language programming and instruction set architectures. System stack and procedure calls. Techniques for writing assembly language programs. The course covers ARM32 instruction set and basic I/O. Interfaces between high-level languages and assembly codes will be discussed.</p>
5,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/211.html,"<p><strong>CATALOG DESCRIPTION: </strong> CS 211 teaches foundational software design skills at a small-to-medium scale. We aim to provide a bridge from the student-oriented <em>How to Design Programs</em> languages to real, industry-standard languages and tools. In the first half of the course, you’ll learn the basics of imperative programming and manual memory management using the C programming language. In the second half of the course, we’ll transition to C++, which provides abstraction mechanisms such as classes and templates that we use to express our design ideas. Topics include expressions, statements, types, functions, branches and iteration, user-defined types, data hiding, basic UNIX shell usage, and testing.</p>"
6,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/212.html,"<p>This course will discuss fundamental concepts and tools in discrete mathematics with emphasis on their applications to computer science. Example topics include logic and Boolean circuits; sets, functions, relations, databases, and finite automata; deterministic algorithms and randomized algorithms; analysis techniques based on counting methods and recurrence equations; trees and more general graphs.</p>"
7,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/213-20.html,<p>This course has four purposes: (1) to learn about the hierarchy of abstractions and implementations that comprise a modern computer system; (2) to demystify the machine and the tools that we use to program it; (3) to come up to speed on systems programming in C in the Unix environment; (4) to prepare students for upper-level systems courses.</p>
8,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/214.html,"<p>The design, implementation, and analysis of abstract data types, data structures and their algorithms. Topics include: data and procedural abstraction, amortized data structures, trees and search trees, hash tables, priority queues, graphs, shortest paths, searching, and sorting. Required for computer science majors.</p>"
9,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/217.html,"<p>This course will teach students how to organize and analyze real-world data sets using tools that are most commonly used in the business world. In particular, students will learn the SQL language for analyzing data in relational databases. Students will also learn the details of common data encodings (integer, floating point, fixed point, text, date and time), how such data are structured in data files, and how to model complex data sets as a series of SQL tables. In other words, students will learn how to organize large data sets, and to answer questions using that data. The SQL skills taught in COMP_SCI 217 are essential for “data science” practitioners, especially when working with business data. COMP_SCI 217 is all about data, but not really about statistics, visualization, or programming (except SQL, which will be taught). Homework assignments will use the SQ database management systems. Some homework needs basic python programming as well.<br/>COMP_SCI 217 is different from the COMP_SCI 339 and ELEC_ENG/COMP_ENG 495 “Introduction to Databases” courses that we offer to computer science students in that COMP_SCI 217 does not teach the details of how database management systems are built. In other words, the students in this class will learn how to use a database system, not how to build it from scratch.Formerly COMP_SCI 317.</p>"
